,sepalLength,sepalWidth,petalLength,petalWidth,class
0,短,短,短,短,Iris-setosa
1,短,短,短,短,Iris-setosa
2,短,短,短,短,Iris-setosa
3,中,长,短,短,Iris-setosa
4,中,长,短,短,Iris-setosa
5,短,短,短,短,Iris-setosa
6,中,短,短,短,Iris-setosa
7,短,短,短,短,Iris-setosa
8,短,短,短,短,Iris-setosa
9,中,长,短,短,Iris-setosa
10,短,短,短,短,Iris-setosa
11,短,短,短,短,Iris-setosa
12,短,短,短,短,Iris-setosa
13,中,长,短,短,Iris-setosa
14,中,长,短,短,Iris-setosa
15,中,长,短,短,Iris-setosa
16,中,短,短,短,Iris-setosa
17,中,长,短,短,Iris-setosa
18,中,长,短,短,Iris-setosa
19,中,短,短,短,Iris-setosa
20,中,长,短,短,Iris-setosa
21,短,长,短,短,Iris-setosa
22,中,短,短,短,Iris-setosa
23,短,短,短,短,Iris-setosa
24,中,短,短,短,Iris-setosa
25,中,短,短,短,Iris-setosa
26,中,短,短,短,Iris-setosa
27,中,短,短,短,Iris-setosa
28,短,短,短,短,Iris-setosa
29,短,短,短,短,Iris-setosa
30,中,短,短,短,Iris-setosa
31,中,长,短,短,Iris-setosa
32,中,长,短,短,Iris-setosa
33,短,短,短,短,Iris-setosa
34,中,短,短,短,Iris-setosa
35,中,短,短,短,Iris-setosa
36,短,短,短,短,Iris-setosa
37,短,短,短,短,Iris-setosa
38,中,短,短,短,Iris-setosa
39,中,短,短,短,Iris-setosa
40,短,短,短,短,Iris-setosa
41,短,短,短,短,Iris-setosa
42,中,短,短,短,Iris-setosa
43,中,长,短,短,Iris-setosa
44,短,短,短,短,Iris-setosa
45,中,长,短,短,Iris-setosa
46,短,短,短,短,Iris-setosa
47,中,长,短,短,Iris-setosa
48,中,短,短,短,Iris-setosa
49,长,短,中,长,Iris-versicolor
50,长,短,中,长,Iris-versicolor
51,长,短,中,长,Iris-versicolor
52,中,短,短,长,Iris-versicolor
53,长,短,中,长,Iris-versicolor
54,中,短,中,长,Iris-versicolor
55,长,短,中,长,Iris-versicolor
56,短,短,短,长,Iris-versicolor
57,长,短,中,长,Iris-versicolor
58,中,短,短,长,Iris-versicolor
59,中,短,短,长,Iris-versicolor
60,中,短,短,长,Iris-versicolor
61,长,短,短,长,Iris-versicolor
62,长,短,中,长,Iris-versicolor
63,中,短,短,长,Iris-versicolor
64,长,短,中,长,Iris-versicolor
65,中,短,中,长,Iris-versicolor
66,中,短,短,长,Iris-versicolor
67,长,短,中,长,Iris-versicolor
68,中,短,短,长,Iris-versicolor
69,中,短,中,长,Iris-versicolor
70,长,短,短,长,Iris-versicolor
71,长,短,中,长,Iris-versicolor
72,长,短,中,长,Iris-versicolor
73,长,短,短,长,Iris-versicolor
74,长,短,中,长,Iris-versicolor
75,长,短,中,长,Iris-versicolor
76,长,短,中,长,Iris-versicolor
77,长,短,中,长,Iris-versicolor
78,中,短,短,长,Iris-versicolor
79,中,短,短,长,Iris-versicolor
80,中,短,短,长,Iris-versicolor
81,中,短,短,长,Iris-versicolor
82,长,短,中,长,Iris-versicolor
83,中,短,中,长,Iris-versicolor
84,长,短,中,长,Iris-versicolor
85,长,短,中,长,Iris-versicolor
86,长,短,中,长,Iris-versicolor
87,中,短,短,长,Iris-versicolor
88,中,短,短,长,Iris-versicolor
89,中,短,中,长,Iris-versicolor
90,长,短,中,长,Iris-versicolor
91,中,短,短,长,Iris-versicolor
92,中,短,短,长,Iris-versicolor
93,中,短,短,长,Iris-versicolor
94,中,短,短,长,Iris-versicolor
95,中,短,短,长,Iris-versicolor
96,长,短,短,长,Iris-versicolor
97,中,短,短,长,Iris-versicolor
98,中,短,短,长,Iris-versicolor
99,长,短,长,长,Iris-virginica
100,中,短,中,长,Iris-virginica
101,长,短,长,长,Iris-virginica
102,长,短,长,长,Iris-virginica
103,长,短,长,长,Iris-virginica
104,长,短,长,长,Iris-virginica
105,短,短,中,长,Iris-virginica
106,长,短,长,长,Iris-virginica
107,长,短,长,长,Iris-virginica
108,长,长,长,长,Iris-virginica
109,长,短,中,长,Iris-virginica
110,长,短,中,长,Iris-virginica
111,长,短,长,长,Iris-virginica
112,中,短,中,长,Iris-virginica
113,中,短,中,长,Iris-virginica
114,长,短,中,长,Iris-virginica
115,长,短,长,长,Iris-virginica
116,长,长,长,长,Iris-virginica
117,长,短,长,长,Iris-virginica
118,长,短,中,长,Iris-virginica
119,长,短,长,长,Iris-virginica
120,中,短,中,长,Iris-virginica
121,长,短,长,长,Iris-virginica
122,长,短,中,长,Iris-virginica
123,长,短,长,长,Iris-virginica
124,长,短,长,长,Iris-virginica
125,长,短,中,长,Iris-virginica
126,长,短,中,长,Iris-virginica
127,长,短,长,长,Iris-virginica
128,长,短,长,长,Iris-virginica
129,长,短,长,长,Iris-virginica
130,长,长,长,长,Iris-virginica
131,长,短,长,长,Iris-virginica
132,长,短,中,长,Iris-virginica
133,长,短,长,长,Iris-virginica
134,长,短,长,长,Iris-virginica
135,长,短,长,长,Iris-virginica
136,长,短,长,长,Iris-virginica
137,长,短,中,长,Iris-virginica
138,长,短,长,长,Iris-virginica
139,长,短,长,长,Iris-virginica
140,长,短,中,长,Iris-virginica
141,中,短,中,长,Iris-virginica
142,长,短,长,长,Iris-virginica
143,长,短,长,长,Iris-virginica
144,长,短,中,长,Iris-virginica
145,长,短,中,长,Iris-virginica
146,长,短,中,长,Iris-virginica
147,长,短,长,长,Iris-virginica
148,中,短,中,长,Iris-virginica
149,中,短,短,短,Iris-setosa
